"","x","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"48332",48332,49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"22969",22969,26,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"22861",22861,34,"Private","Assoc-voc",11,"Divorced","White","Female",40,"<=50K"
"29576",29576,25,"Local-gov","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"8935",8935,53,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"48563",48563,50,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"43313",43313,22,"Private","HS-grad",9,"Separated","White","Female",40,"<=50K"
"48032",48032,44,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"48259",48259,39,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"42172",42172,53,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"36488",36488,45,"Private","HS-grad",9,"Divorced","Black","Male",40,"<=50K"
"35218",35218,27,"Private","HS-grad",9,"Never-married","White","Female",52,"<=50K"
"39768",39768,39,"Private","Assoc-acdm",12,"Divorced","White","Male",40,"<=50K"
"45043",45043,32,"State-gov","Some-college",10,"Never-married","Black","Female",20,"<=50K"
"1966",1966,19,"Local-gov","Some-college",10,"Never-married","White","Female",25,"<=50K"
"10218",10218,57,"Local-gov","Some-college",10,"Separated","Black","Female",40,"<=50K"
"9013",9013,41,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"29710",29710,25,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"984",984,38,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",40,">50K"
"36654",36654,28,"Private","9th",5,"Married-civ-spouse","White","Male",42,"<=50K"
"39864",39864,30,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",50,">50K"
"39971",39971,43,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Female",40,">50K"
"955",955,35,"Private","Some-college",10,"Married-civ-spouse","White","Male",56,"<=50K"
"1713",1713,32,"Self-emp-inc","Masters",14,"Never-married","White","Female",52,"<=50K"
"42751",42751,19,"Private","7th-8th",4,"Never-married","White","Male",33,"<=50K"
"44447",44447,38,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"5872",5872,31,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"15842",15842,34,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"853",853,21,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"1613",1613,20,"?","Some-college",10,"Never-married","Asian-Pac-Islander","Female",40,"<=50K"
"29409",29409,35,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"22161",22161,19,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"41662",41662,76,"Local-gov","HS-grad",9,"Widowed","White","Female",13,"<=50K"
"26579",26579,37,"Private","Some-college",10,"Married-spouse-absent","White","Female",30,"<=50K"
"6962",6962,58,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"39942",39942,17,"Private","10th",6,"Never-married","White","Male",30,"<=50K"
"585",585,44,"Private","HS-grad",9,"Never-married","White","Male",40,">50K"
"32374",32374,58,"State-gov","Bachelors",13,"Married-civ-spouse","White","Female",20,">50K"
"7388",7388,39,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"29803",29803,47,"Private","Bachelors",13,"Divorced","White","Male",40,">50K"
"27734",27734,23,"Private","11th",7,"Married-civ-spouse","White","Male",25,"<=50K"
"755",755,25,"State-gov","Bachelors",13,"Never-married","White","Female",40,">50K"
"10249",10249,36,"?","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"3086",3086,22,"Self-emp-inc","HS-grad",9,"Never-married","White","Male",45,"<=50K"
"29223",29223,18,"Private","11th",7,"Never-married","White","Female",49,"<=50K"
"24663",24663,85,"Private","HS-grad",9,"Widowed","White","Male",35,"<=50K"
"26792",26792,35,"Private","Some-college",10,"Married-civ-spouse","White","Female",20,">50K"
"10288",10288,33,"State-gov","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"24025",24025,20,"Private","HS-grad",9,"Never-married","White","Male",8,"<=50K"
"16845",16845,24,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"25585",25585,51,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",8,"<=50K"
"28860",28860,31,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"37877",37877,51,"Private","HS-grad",9,"Married-civ-spouse","White","Female",20,"<=50K"
"43204",43204,39,"Private","HS-grad",9,"Married-civ-spouse","Asian-Pac-Islander","Male",26,"<=50K"
"44834",44834,59,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"37316",37316,44,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"14328",14328,48,"Private","HS-grad",9,"Divorced","White","Female",38,"<=50K"
"20159",20159,36,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"1433",1433,31,"State-gov","Assoc-voc",11,"Never-married","White","Male",40,"<=50K"
"48068",48068,50,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"14219",14219,28,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"10013",10013,38,"Private","Bachelors",13,"Married-civ-spouse","White","Male",70,"<=50K"
"31096",31096,55,"Self-emp-not-inc","10th",6,"Married-civ-spouse","White","Male",50,">50K"
"33354",33354,28,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"30367",30367,39,"Private","12th",8,"Married-spouse-absent","Black","Male",45,"<=50K"
"35870",35870,27,"Private","11th",7,"Divorced","White","Female",40,"<=50K"
"42769",42769,46,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"46715",46715,29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"21771",21771,41,"Private","Some-college",10,"Divorced","White","Female",80,"<=50K"
"47439",47439,25,"Private","Prof-school",15,"Never-married","White","Female",20,"<=50K"
"2730",2730,39,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",35,">50K"
"17757",17757,47,"Private","HS-grad",9,"Married-civ-spouse","White","Male",38,"<=50K"
"13972",13972,32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"21974",21974,31,"Private","HS-grad",9,"Never-married","White","Female",35,"<=50K"
"12640",12640,49,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"32362",32362,27,"Private","Some-college",10,"Never-married","White","Male",45,"<=50K"
"17817",17817,30,"Private","Assoc-acdm",12,"Never-married","White","Female",40,"<=50K"
"44542",44542,43,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"17898",17898,46,"Private","Prof-school",15,"Married-civ-spouse","White","Male",60,">50K"
"39860",39860,56,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"26800",26800,54,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"32056",32056,39,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"5733",5733,22,"?","HS-grad",9,"Never-married","Black","Male",10,"<=50K"
"8273",8273,50,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"5576",5576,23,"Federal-gov","Some-college",10,"Never-married","White","Female",15,"<=50K"
"13539",13539,55,"Federal-gov","Bachelors",13,"Married-spouse-absent","Black","Male",40,">50K"
"36177",36177,53,"Self-emp-inc","Masters",14,"Married-civ-spouse","White","Male",40,">50K"
"34147",34147,49,"State-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"21491",21491,25,"?","Assoc-voc",11,"Never-married","White","Female",40,"<=50K"
"32187",32187,62,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",35,"<=50K"
"30804",30804,39,"Private","Assoc-voc",11,"Never-married","White","Male",60,"<=50K"
"47926",47926,29,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"6549",6549,61,"Private","Assoc-voc",11,"Divorced","Black","Female",32,"<=50K"
"35336",35336,56,"Private","Bachelors",13,"Never-married","White","Female",52,"<=50K"
"30394",30394,23,"Federal-gov","Some-college",10,"Never-married","Amer-Indian-Eskimo","Male",40,"<=50K"
"4974",4974,46,"Private","Some-college",10,"Married-civ-spouse","White","Female",40,">50K"
"39127",39127,57,"Private","Masters",14,"Divorced","White","Male",50,">50K"
"9843",9843,40,"Local-gov","Masters",14,"Married-civ-spouse","Black","Female",36,">50K"
"15716",15716,32,"Private","HS-grad",9,"Widowed","White","Female",40,"<=50K"
"23235",23235,24,"Private","HS-grad",9,"Never-married","White","Female",35,"<=50K"
"41753",41753,43,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,">50K"
"31205",31205,18,"Private","7th-8th",4,"Never-married","White","Female",40,"<=50K"
"41303",41303,17,"Private","11th",7,"Never-married","White","Male",20,"<=50K"
"18323",18323,61,"Private","7th-8th",4,"Widowed","Black","Female",38,"<=50K"
"11099",11099,46,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"14364",14364,48,"Private","Masters",14,"Married-civ-spouse","White","Male",60,">50K"
"35286",35286,21,"Private","10th",6,"Never-married","Black","Female",40,"<=50K"
"36644",36644,36,"Local-gov","Some-college",10,"Married-civ-spouse","White","Male",42,">50K"
"19840",19840,24,"Local-gov","Bachelors",13,"Never-married","White","Female",50,"<=50K"
"17514",17514,27,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"20808",20808,47,"Private","7th-8th",4,"Married-civ-spouse","Black","Female",35,"<=50K"
"19478",19478,20,"Private","5th-6th",3,"Married-spouse-absent","White","Male",40,"<=50K"
"13388",13388,31,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"5920",5920,31,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"18592",18592,56,"Private","7th-8th",4,"Widowed","White","Male",20,"<=50K"
"33870",33870,30,"State-gov","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"4433",4433,26,"State-gov","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"34259",34259,47,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"22847",22847,26,"Private","HS-grad",9,"Never-married","Black","Female",30,"<=50K"
"19085",19085,33,"Private","Masters",14,"Never-married","White","Male",20,"<=50K"
"14570",14570,47,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"8968",8968,57,"Self-emp-not-inc","Some-college",10,"Divorced","White","Male",40,"<=50K"
"12980",12980,52,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"43537",43537,37,"State-gov","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"34341",34341,22,"Private","Some-college",10,"Never-married","White","Female",15,"<=50K"
"14649",14649,42,"Private","HS-grad",9,"Widowed","White","Male",40,">50K"
"21359",21359,35,"Private","Bachelors",13,"Divorced","White","Female",40,"<=50K"
"27759",27759,36,"Private","10th",6,"Never-married","White","Female",35,"<=50K"
"3044",3044,65,"Local-gov","HS-grad",9,"Widowed","White","Female",35,"<=50K"
"26062",26062,49,"Federal-gov","Assoc-voc",11,"Married-civ-spouse","Asian-Pac-Islander","Male",40,">50K"
"26997",26997,70,"?","HS-grad",9,"Widowed","White","Female",4,"<=50K"
"27667",27667,39,"Private","Some-college",10,"Never-married","Black","Male",40,"<=50K"
"20256",20256,41,"Private","Some-college",10,"Separated","White","Female",38,"<=50K"
"41133",41133,23,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"15772",15772,37,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Male",40,">50K"
"17233",17233,43,"Private","Masters",14,"Married-civ-spouse","White","Male",43,">50K"
"38362",38362,44,"Private","Assoc-acdm",12,"Divorced","White","Female",40,"<=50K"
"24614",24614,58,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"10850",10850,45,"Private","11th",7,"Divorced","White","Male",40,"<=50K"
"24644",24644,64,"Private","11th",7,"Married-civ-spouse","White","Male",48,"<=50K"
"39233",39233,71,"?","Assoc-acdm",12,"Married-civ-spouse","White","Male",3,"<=50K"
"36136",36136,26,"Private","Bachelors",13,"Never-married","White","Male",70,">50K"
"21332",21332,52,"Private","HS-grad",9,"Married-civ-spouse","White","Male",48,"<=50K"
"18591",18591,64,"State-gov","HS-grad",9,"Widowed","White","Female",38,"<=50K"
"30265",30265,44,"Private","Masters",14,"Married-civ-spouse","White","Male",45,">50K"
"23567",23567,54,"State-gov","Masters",14,"Married-civ-spouse","Asian-Pac-Islander","Male",40,">50K"
"15698",15698,17,"Private","10th",6,"Never-married","White","Male",25,"<=50K"
"45910",45910,55,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"33665",33665,17,"Private","9th",5,"Never-married","Black","Male",35,"<=50K"
"9348",9348,49,"State-gov","Bachelors",13,"Married-civ-spouse","White","Female",40,">50K"
"37541",37541,28,"Private","Masters",14,"Never-married","White","Female",40,"<=50K"
"25373",25373,59,"Private","Masters",14,"Married-civ-spouse","White","Male",40,">50K"
"48410",48410,44,"Private","Assoc-voc",11,"Married-civ-spouse","White","Female",20,"<=50K"
"34699",34699,24,"Private","Some-college",10,"Never-married","White","Female",53,"<=50K"
"5891",5891,44,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",55,">50K"
"22186",22186,34,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"47638",47638,58,"Private","Masters",14,"Widowed","White","Female",27,"<=50K"
"13263",13263,40,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,">50K"
"40468",40468,31,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"17466",17466,44,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"25747",25747,47,"Private","HS-grad",9,"Married-civ-spouse","White","Male",49,">50K"
"32955",32955,38,"Private","Some-college",10,"Married-civ-spouse","Asian-Pac-Islander","Male",40,">50K"
"34350",34350,39,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",50,">50K"
"7930",7930,41,"State-gov","Masters",14,"Married-civ-spouse","Black","Female",40,"<=50K"
"6352",6352,41,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"37861",37861,28,"Private","Assoc-acdm",12,"Never-married","White","Male",65,"<=50K"
"7754",7754,36,"Private","HS-grad",9,"Separated","White","Male",40,"<=50K"
"1070",1070,63,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"41666",41666,22,"Private","11th",7,"Never-married","White","Male",35,"<=50K"
"19956",19956,30,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"45952",45952,34,"Private","Some-college",10,"Divorced","White","Female",6,"<=50K"
"23627",23627,20,"Private","Some-college",10,"Never-married","Asian-Pac-Islander","Female",40,"<=50K"
"38241",38241,44,"Private","HS-grad",9,"Married-civ-spouse","Asian-Pac-Islander","Female",50,"<=50K"
"2947",2947,29,"Private","Masters",14,"Never-married","White","Male",40,"<=50K"
"25275",25275,39,"Private","Assoc-voc",11,"Separated","Asian-Pac-Islander","Male",40,"<=50K"
"2458",2458,36,"Private","HS-grad",9,"Separated","White","Female",38,"<=50K"
"24157",24157,47,"Federal-gov","HS-grad",9,"Married-civ-spouse","Black","Male",40,">50K"
"19442",19442,43,"Local-gov","Masters",14,"Divorced","White","Male",40,"<=50K"
"40596",40596,65,"Private","HS-grad",9,"Widowed","White","Female",20,"<=50K"
"32859",32859,35,"Private","12th",8,"Married-civ-spouse","White","Male",40,"<=50K"
"3688",3688,33,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"32626",32626,28,"Private","Some-college",10,"Never-married","White","Male",60,"<=50K"
"25263",25263,47,"Private","Masters",14,"Married-civ-spouse","White","Male",65,">50K"
"45904",45904,51,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"39987",39987,39,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,"<=50K"
"1820",1820,37,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"20598",20598,65,"Self-emp-not-inc","Some-college",10,"Widowed","White","Female",35,"<=50K"
"34551",34551,27,"Private","Some-college",10,"Never-married","White","Female",15,"<=50K"
"28861",28861,24,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"11301",11301,51,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"19431",19431,55,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"18542",18542,25,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"41032",41032,34,"Private","HS-grad",9,"Separated","White","Female",35,"<=50K"
"41049",41049,51,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"15577",15577,47,"Private","9th",5,"Divorced","White","Female",40,"<=50K"
"36772",36772,52,"Local-gov","Masters",14,"Divorced","White","Female",60,">50K"
"5165",5165,67,"?","Some-college",10,"Widowed","White","Female",4,"<=50K"
"34276",34276,43,"State-gov","HS-grad",9,"Married-civ-spouse","Amer-Indian-Eskimo","Male",40,"<=50K"
"22789",22789,51,"Federal-gov","Assoc-acdm",12,"Married-civ-spouse","Black","Male",40,"<=50K"
"5866",5866,38,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"37665",37665,26,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"25660",25660,53,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"16592",16592,26,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"37927",37927,47,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"19325",19325,21,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"47898",47898,28,"Private","HS-grad",9,"Never-married","Other","Male",48,"<=50K"
"39308",39308,47,"Private","Some-college",10,"Widowed","White","Female",40,"<=50K"
"28257",28257,33,"Local-gov","Masters",14,"Married-civ-spouse","White","Female",35,">50K"
"27666",27666,34,"Private","Prof-school",15,"Never-married","Asian-Pac-Islander","Male",40,">50K"
"36709",36709,54,"Private","Some-college",10,"Married-civ-spouse","Black","Male",40,"<=50K"
"15233",15233,75,"Private","10th",6,"Widowed","White","Female",32,"<=50K"
"42067",42067,43,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"30067",30067,66,"Private","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Male",40,"<=50K"
"12763",12763,63,"Private","Some-college",10,"Married-civ-spouse","White","Male",35,">50K"
"30917",30917,27,"State-gov","Masters",14,"Never-married","White","Male",40,"<=50K"
"19800",19800,51,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"8620",8620,48,"Private","HS-grad",9,"Divorced","White","Female",35,"<=50K"
"36466",36466,51,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"42029",42029,23,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"11121",11121,34,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"39451",39451,43,"Private","5th-6th",3,"Separated","White","Female",40,"<=50K"
"16740",16740,23,"Private","HS-grad",9,"Married-civ-spouse","White","Male",60,"<=50K"
"11849",11849,26,"?","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"2807",2807,60,"Private","HS-grad",9,"Widowed","White","Female",30,"<=50K"
"15011",15011,27,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"48234",48234,57,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"3027",3027,37,"Self-emp-not-inc","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"42640",42640,63,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"48392",48392,33,"Private","HS-grad",9,"Divorced","White","Male",60,"<=50K"
"17062",17062,43,"State-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"37866",37866,30,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"19116",19116,29,"Private","Bachelors",13,"Never-married","Asian-Pac-Islander","Female",40,"<=50K"
"41213",41213,34,"Private","Some-college",10,"Married-civ-spouse","Black","Male",40,">50K"
"44390",44390,21,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"10912",10912,46,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"33725",33725,64,"Private","Some-college",10,"Widowed","White","Female",40,"<=50K"
"29739",29739,66,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Female",40,">50K"
"22771",22771,21,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"43131",43131,34,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"32266",32266,54,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"33116",33116,26,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"5502",5502,43,"Local-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"21551",21551,59,"Private","9th",5,"Married-civ-spouse","White","Male",60,">50K"
"15074",15074,31,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"19989",19989,41,"Private","Some-college",10,"Married-civ-spouse","Amer-Indian-Eskimo","Male",50,">50K"
"17478",17478,51,"Local-gov","Assoc-acdm",12,"Married-civ-spouse","White","Male",60,"<=50K"
"41625",41625,32,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"48330",48330,21,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"21294",21294,33,"State-gov","Masters",14,"Never-married","Asian-Pac-Islander","Male",30,"<=50K"
"33199",33199,36,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"33669",33669,29,"Private","Bachelors",13,"Never-married","White","Male",45,">50K"
"43536",43536,49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"48470",48470,29,"Private","Bachelors",13,"Never-married","White","Female",55,"<=50K"
"5818",5818,37,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"13995",13995,27,"Private","Some-college",10,"Never-married","White","Male",38,"<=50K"
"3319",3319,29,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"8122",8122,45,"Private","Some-college",10,"Never-married","White","Male",45,"<=50K"
"27087",27087,25,"?","Some-college",10,"Never-married","White","Male",40,"<=50K"
"48043",48043,44,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"31441",31441,54,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"26692",26692,28,"Self-emp-not-inc","11th",7,"Never-married","White","Male",40,"<=50K"
"3401",3401,24,"Self-emp-not-inc","HS-grad",9,"Never-married","White","Male",35,"<=50K"
"24418",24418,19,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"2158",2158,25,"Private","Masters",14,"Never-married","White","Male",45,"<=50K"
"3459",3459,46,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"20888",20888,35,"?","HS-grad",9,"Married-civ-spouse","White","Female",12,"<=50K"
"38799",38799,21,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"39893",39893,53,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"43029",43029,23,"Private","Some-college",10,"Never-married","White","Female",20,"<=50K"
"20351",20351,25,"Private","HS-grad",9,"Never-married","White","Female",22,"<=50K"
"12438",12438,53,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"22012",22012,26,"Private","Some-college",10,"Never-married","White","Male",44,"<=50K"
"24040",24040,62,"Private","10th",6,"Widowed","White","Female",40,"<=50K"
"6371",6371,28,"Federal-gov","Assoc-acdm",12,"Married-civ-spouse","Amer-Indian-Eskimo","Male",40,"<=50K"
"29750",29750,30,"Private","Assoc-acdm",12,"Never-married","Asian-Pac-Islander","Male",40,"<=50K"
"39368",39368,40,"Private","Assoc-voc",11,"Married-civ-spouse","White","Female",36,"<=50K"
"8431",8431,29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",35,"<=50K"
"36767",36767,43,"Private","Bachelors",13,"Divorced","White","Male",40,"<=50K"
"3887",3887,19,"Private","HS-grad",9,"Never-married","White","Female",25,"<=50K"
"45424",45424,33,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"23352",23352,30,"Private","Preschool",1,"Never-married","White","Male",40,"<=50K"
"11639",11639,45,"Private","HS-grad",9,"Widowed","Black","Female",25,"<=50K"
"2245",2245,38,"Private","Masters",14,"Married-civ-spouse","Black","Male",40,"<=50K"
"12688",12688,31,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"31864",31864,19,"Private","Some-college",10,"Never-married","White","Female",18,"<=50K"
"44723",44723,52,"Private","5th-6th",3,"Married-civ-spouse","White","Female",15,"<=50K"
"17680",17680,51,"Private","10th",6,"Married-civ-spouse","White","Male",45,"<=50K"
"609",609,36,"Private","Assoc-voc",11,"Never-married","Asian-Pac-Islander","Male",40,"<=50K"
"12997",12997,62,"Self-emp-not-inc","Masters",14,"Married-spouse-absent","White","Female",20,"<=50K"
"45635",45635,43,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"20249",20249,25,"Private","11th",7,"Married-civ-spouse","White","Male",40,"<=50K"
"33013",33013,36,"?","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"7212",7212,50,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"41731",41731,49,"Private","Bachelors",13,"Married-civ-spouse","White","Male",66,">50K"
"39468",39468,24,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"9004",9004,34,"Private","Bachelors",13,"Never-married","White","Male",40,">50K"
"11649",11649,52,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"44503",44503,25,"Private","HS-grad",9,"Never-married","White","Male",78,"<=50K"
"2142",2142,52,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",60,"<=50K"
"6397",6397,58,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"40787",40787,70,"Self-emp-not-inc","Masters",14,"Married-civ-spouse","Black","Male",40,"<=50K"
"30940",30940,42,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",60,">50K"
"19807",19807,31,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,"<=50K"
"46046",46046,17,"Private","11th",7,"Never-married","White","Female",20,"<=50K"
"41764",41764,41,"Private","Bachelors",13,"Married-civ-spouse","White","Male",48,">50K"
"30776",30776,32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"25365",25365,67,"Private","HS-grad",9,"Married-civ-spouse","White","Male",24,"<=50K"
"35782",35782,25,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"7869",7869,41,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",30,"<=50K"
"30377",30377,19,"Private","Some-college",10,"Never-married","White","Male",45,"<=50K"
"2417",2417,38,"?","HS-grad",9,"Married-civ-spouse","Black","Male",40,"<=50K"
"27653",27653,63,"Private","HS-grad",9,"Divorced","White","Female",72,"<=50K"
"38078",38078,40,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"31132",31132,24,"Self-emp-not-inc","HS-grad",9,"Never-married","White","Male",30,"<=50K"
"29636",29636,19,"Private","Some-college",10,"Never-married","White","Female",15,"<=50K"
"40844",40844,26,"Private","Bachelors",13,"Never-married","White","Female",35,"<=50K"
"30599",30599,47,"Private","Some-college",10,"Divorced","White","Female",60,"<=50K"
